time,Cid,hits
2019-08-01,3,6938
2019-08-01,5,5130
2019-08-01,10,609
2019-08-02,1,6549
2019-08-02,3,4250
2019-08-02,5,3999
2019-08-02,8,1598
2019-08-05,1,21951
2019-08-05,2,45027
2019-08-05,3,2885
2019-08-05,5,5803
2019-08-05,8,6863
2019-08-06,1,19009
2019-08-06,3,5981
2019-08-06,10,1196
2019-08-07,1,5250
2019-08-07,3,12439
2019-08-07,5,13312
2019-08-08,1,18368
2019-08-08,2,5778
2019-08-08,3,10716
2019-08-08,8,1556
2019-08-08,10,625
2019-08-09,1,15528
2019-08-09,2,55037
2019-08-09,3,3304
2019-08-09,10,258
2019-08-12,1,25182
2019-08-12,2,14461
2019-08-12,3,33068
2019-08-13,1,7567
2019-08-13,2,7335
2019-08-13,8,1503
2019-08-14,1,14585
2019-08-14,2,21645
2019-08-14,3,10507
2019-08-14,5,12414
2019-08-16,1,24645
2019-08-16,2,6750
2019-08-16,3,14466
2019-08-16,8,1591
2019-08-19,1,11869
2019-08-19,3,4574
2019-08-19,5,15510
2019-08-19,8,1564
2019-08-19,10,381
2019-08-20,1,14783
2019-08-20,2,14389
2019-08-20,3,16361
2019-08-20,5,15684
2019-08-20,8,1939
2019-08-20,10,2081
2019-08-21,1,13298
2019-08-21,8,1828
2019-08-21,10,577
2019-08-22,1,6354
2019-08-22,2,11006
2019-08-22,3,22536
2019-08-23,1,20900
2019-08-23,2,12573
2019-08-23,3,5807
2019-08-23,5,8243
2019-08-23,10,279
2019-08-24,1,4142
2019-08-26,1,20272
2019-08-26,2,7759
2019-08-26,5,4800
2019-08-27,1,14265
2019-08-27,5,9193
2019-08-27,10,320
2019-08-28,1,8604
2019-08-28,2,17730
2019-08-28,3,4779
2019-08-29,1,17156
2019-08-29,2,12300
2019-08-29,3,12635
2019-08-29,5,13926
2019-08-29,10,368
2019-08-30,1,19278
2019-08-30,2,19148
2019-08-30,3,10762
2019-08-30,5,5175
2019-08-30,10,413
2019-09-01,1,1808
2019-09-02,1,30958
2019-09-02,3,7557
2019-09-02,5,5733
2019-09-02,8,2986
2019-09-02,10,738
2019-09-03,1,15925
2019-09-03,2,15771
2019-09-03,3,3372
2019-09-03,8,3135
2019-09-03,10,1126
2019-09-04,1,10284
2019-09-04,2,5887
2019-09-04,3,3364
2019-09-04,6,1740
2019-09-04,8,1433
2019-09-05,1,26835
2019-09-05,2,4362
2019-09-05,3,3437
2019-09-05,5,4378
2019-09-05,8,1592
2019-09-05,10,1331
2019-09-06,1,27105
2019-09-06,2,18566
2019-09-06,3,11602
2019-09-06,5,5330
2019-09-09,1,12942
2019-09-09,2,12547
2019-09-09,5,10213
2019-09-10,1,13025
2019-09-10,2,12955
2019-09-10,3,2647
2019-09-10,5,4771
2019-09-10,8,1667
2019-09-10,10,769
2019-09-11,1,24703
2019-09-11,3,5159
2019-09-11,5,4816
2019-09-11,8,1488
2019-09-16,1,22030
2019-09-16,2,10342
2019-09-16,3,4354
2019-09-16,5,28846
2019-09-16,10,1037
2019-09-17,1,17897
2019-09-17,2,3971
2019-09-17,3,19
2019-09-17,5,3914
2019-09-17,6,6077
2019-09-17,8,3662
2019-09-18,1,7927
2019-09-18,3,9407
2019-09-18,5,5195
2019-09-18,8,1628
2019-09-19,1,12358
2019-09-19,3,5090
2019-09-19,5,4319
2019-09-19,8,1711
2019-09-20,1,17504
2019-09-20,2,10878
2019-09-20,3,12086
2019-09-20,5,23816
2019-09-21,8,1386
2019-09-23,1,25520
2019-09-23,2,4065
2019-09-23,5,9051
2019-09-23,8,1545
2019-09-24,1,7940
2019-09-24,3,3985
2019-09-25,1,8529
2019-09-25,2,4828
2019-09-25,3,2306
2019-09-26,1,17451
2019-09-26,2,3960
2019-09-26,3,3262
2019-09-26,5,4771
2019-09-27,1,24468
2019-09-27,2,12056
2019-09-27,3,2210
2019-09-29,1,2558
2019-09-30,1,15938
2019-09-30,2,5207
2019-09-30,10,380
2019-10-01,1,7978
2019-10-01,2,19700
2019-10-01,5,18331
2019-10-02,1,10720
2019-10-02,2,6631
2019-10-02,5,12254
2019-10-03,8,1374
2019-10-04,3,9780
2019-10-04,5,5289
2019-10-07,1,5677
2019-10-07,2,4050
2019-10-07,3,2963
2019-10-07,4,6426
2019-10-07,5,9249
2019-10-07,8,3164
2019-10-08,1,18062
2019-10-08,2,5918
2019-10-08,3,4742
2019-10-08,5,7229
2019-10-08,8,1516
2019-10-10,1,9429
2019-10-10,2,3740
2019-10-10,3,7278
2019-10-10,5,4533
2019-10-11,1,7309
2019-10-11,5,20619
2019-10-12,8,1547
2019-10-14,1,11604
2019-10-14,2,10404
2019-10-14,3,2503
2019-10-14,5,4307
2019-10-14,8,1547
2019-10-14,10,184
2019-10-15,1,7138
2019-10-15,2,8963
2019-10-15,8,2879
2019-10-16,1,9546
2019-10-16,3,8750
2019-10-16,10,234
2019-10-17,1,2840
2019-10-17,2,3694
2019-10-17,10,270
2019-10-18,1,5907
2019-10-18,6,3232
2019-10-18,8,3029
2019-10-18,10,388
2019-10-21,1,13399
2019-10-21,2,17686
2019-10-21,3,8796
2019-10-21,5,9090
2019-10-21,6,3351
2019-10-21,8,1589
2019-10-21,10,489
2019-10-22,1,12568
2019-10-22,2,8012
2019-10-22,5,12943
2019-10-22,6,1873
2019-10-23,1,9383
2019-10-23,8,1549
2019-10-24,1,10512
2019-10-24,2,8977
2019-10-24,3,13758
2019-10-24,5,4442
2019-10-24,10,595
2019-10-25,1,5455
2019-10-25,5,3810
2019-10-25,10,621
2019-10-26,1,2136
2019-10-28,1,22617
2019-10-28,2,3721
2019-10-28,3,3660
2019-10-28,5,4394
2019-10-28,8,1661
2019-10-28,10,269
2019-10-29,1,5184
2019-10-30,1,11207
2019-10-30,2,9459
2019-10-30,4,5798
2019-10-30,10,644
2019-10-31,1,15781
2019-10-31,3,3105
2019-10-31,5,8544
2019-10-31,8,2935
2019-10-31,10,423
2019-11-01,1,3942
2019-11-01,2,4068
2019-11-04,1,6171
2019-11-04,2,13941
2019-11-04,3,16223
2019-11-04,10,518
2019-11-05,1,13845
2019-11-05,2,51
2019-11-05,8,1553
2019-11-06,1,12780
2019-11-06,2,6455
2019-11-06,3,3291
2019-11-06,4,5389
2019-11-06,5,20766
2019-11-07,1,2120
2019-11-07,2,21721
2019-11-07,3,3737
2019-11-07,8,3185
2019-11-07,10,304
2019-11-08,1,13611
2019-11-08,2,3991
2019-11-08,3,3795
2019-11-08,5,17797
2019-11-09,8,1498
2019-11-11,1,13958
2019-11-11,2,3656
2019-11-11,3,6357
2019-11-11,5,4851
2019-11-11,6,3576
2019-11-11,8,1514
2019-11-12,1,5177
2019-11-12,2,8327
2019-11-12,3,3339
2019-11-12,5,10201
2019-11-12,8,1468
2019-11-12,10,498
2019-11-13,1,10736
2019-11-13,2,6389
2019-11-13,3,11820
2019-11-13,5,5114
2019-11-14,1,3862
2019-11-14,3,4973
2019-11-14,5,14952
2019-11-14,10,418
2019-11-15,1,14123
2019-11-15,2,11950
2019-11-15,3,5185
2019-11-15,8,1504
2019-11-15,10,271
2019-11-18,1,16810
2019-11-18,3,16046
2019-11-19,1,7077
2019-11-19,8,1629
2019-11-20,1,2241
