Cid,title,hits,time,cluster
1,[참사람사회공헌센터] 2022년 겨울학기 사회봉사교과목 평가회 안내,376,2023-01-05,153
1,2023-전기 각 대학원 원서접수 안내,3238,2023-01-05,10
1,2023-전기 각 대학원 합격자 발표 안내,792,2023-01-05,96
1,신입생 입학 전 사전교육 신청 안내,775,2023-01-05,224
1,[공인회계사반] 2023-1학기 공인회계사반 입반시험 공고,471,2023-01-05,221
1,[참사람사회공헌센터]2022 동계방학 학점봉사캠프 미동 21기 모집 재연장,522,2022-12-09,32
1,"[카운슬링센터] 온라인 심리검사 프로그램 참여 안내 : '나의 대학생활과 학습습관, 어떨까?'",268,2022-12-09,289
1,"[DUICA]2022-겨울방학 컴활, 포토샵, 일러, 파이썬 특강 안내",598,2022-12-09,302
1,"[카운슬링센터] 정신건강특강 '3장: 연인관계, 가족과의 친밀한 관계 비결' 안내",343,2022-12-07,178
1,[법과대학 고시반] 2024학년 법학적성시험대비 로스쿨 입시가이드 및 로드맵 특강 안내,409,2022-12-07,138
1,[취업버프아이템] 마이크로디그리 교육과정 이수자 모집,516,2022-12-07,407
1,[카운슬링센터] 힐링 글귀 공모전 수상자 발표,422,2022-12-06,386
1,2022 신입생 나의 향상된 역량을 알아보자,448,2022-12-06,124
1,[참사람사회공헌센터] 2022 동계방학 학점봉사캠프 「미동 21기」 참가자 모집 (기간연장),345,2022-12-06,32
1,2022-2 동국 튜터링 프로그램 운영현황 설문조사,247,2022-12-05,99
1,2022-2 동국 튜터링 우수활동 튜티 선발 안내,271,2022-12-05,148
1,2022학년도 겨울방학 대운동장 대관신청 안내,339,2022-12-05,441
1,[교수학습개발센터] 2023-1 혁신교수법 적용 교과목 개발 모집 공고,158,2022-12-05,170
1,전담특허사무소 모집 (재공고),419,2022-12-02,25
1,"온라인 심리검사 프로그램 참여 안내 : '나의 대학생활과 학습습관, 어떨까?'",254,2022-12-02,289
1,GCS연계전공 신청자 모집(~12/16),335,2022-12-02,282
1,"[창업교육센터] ""누구나! 동국캠퍼스CEO"" 창업교육특강 수강자 모집",353,2022-12-02,66
1,[교수학습개발센터] 2022학년도 혁신교수법 우수사례 공모전 실시,446,2022-12-01,170
1,「2022년 고교교육 기여대학 지원사업」 저소득층 생활지원 프로그램(기숙사비 지원) 신청 안내,1690,2022-11-30,368
1,[역량개발센터 특강] 4차 산업시대의 디지털 윤리의식,293,2022-11-29,124
1,2022학년도 드림패스 핵심역량 진단하고 마일리지 받자!(2탄),1580,2022-11-28,460
1,2023년 마일리지 경진대회 실시!,888,2022-11-28,348
1,[참사람사회공헌센터] 2022년 동계방학 학점봉사캠프 「미동 21기」 참가자 모집(기간연장),712,2022-11-28,32
1,"온라인 심리검사 프로그램 참여 안내 : '나의 대학생활과 학습습관, 어떨까?'",305,2022-11-25,289
1,[창업진흥센터-Makers Value up] XR 실감형 콘텐츠 제작 디지털 3D 드로잉 워크숍 교육 참가자 모집,341,2022-11-25,66
1,[창업보육센터] 신규 입주기업 모집 공고(2022년 6차),290,2022-11-24,1
1,[역량개발센터] 노코드! 코딩 없이도 누구나 시민개발자가 될 수 있다,370,2022-11-24,124
1,[공지] 교내 네트워크 스위치 작업 안내 : 2022.11.26 (토),397,2022-11-22,100
1,제 4기 국민외교아카데미 대학생 외교 연수 과정 선발 안내,446,2022-11-22,155
1,[참사람사회공헌센터] 한국장학재단 제26기 동계 대학생 재능봉사캠프 모집 안내,826,2022-11-22,2
1,[교수학습개발센터] 2023-1 혁신교수법 워크숍 시리즈 신청 안내,258,2022-11-22,414
1,"취업 버프 아이템 ""마이크로디그리"" 신청하세요",400,2022-11-22,407
1,2022 부천 메이커스페이스 드론 무료교육 안내,240,2022-11-21,25
1,[문과대 재학생 전용] 문과대학 재학생 취업활성화를 위한 설문조사 안내 및 참여 요청,423,2022-11-18,25
1,[교수학습개발센터] 2023-1 혁신교수법 적용 교과목 개발 모집 공고,332,2022-11-18,170
1,미래융합교육원 대한유도회 유도 단증 자격 과정 신청자 모집,262,2022-11-17,201
1,[교수학습개발센터] '교수자를 위한 발음발성법' 워크숍 안내,306,2022-11-17,414
1,[참사람사회공헌센터] 대한적십자사 사랑의 헌혈버스 운영 안내,252,2022-11-17,190
